group_name,value
0,3667336
1,3713583
2,3630098
3,3767485
4,3829637
5,3917291
6,3996031
7,4101044
8,4137919
9,4126760
10,4114032
11,4121711
12,4166827
13,4253423
14,4343515
15,4508132
16,4502791
17,4432925
18,4395762
19,4422620
20,4382209
21,4362527
22,4444906
23,4448980
24,4379763
25,4373287
26,4383880
27,4412562
28,4488035
29,4580433
30,4651049
31,4752388
32,4819745
33,4828939
34,4688811
35,4600864
36,4545592
37,4550786
38,4543247
39,4446806
40,4508995
41,4498459
42,4432136
43,4410804
44,4228184
45,4131522
46,4077230
47,3936526
48,3974967
49,3896537
50,3944637
51,4130904
52,4372335
53,4300049
54,4135799
55,4043516
56,4053772
57,4109248
58,4261231
59,4355308
60,4349893
61,4356415
62,4340584
63,4254518
64,4164070
65,4118582
66,4034623
67,3848442
68,3749082
69,3603757
70,3441986
71,3300161
72,3130257
73,2970482
74,2872274
75,2789119
76,2912192
77,2045966
78,1939706
79,1859319
80,1845632
81,1552617
82,1365037
83,1221647
84+,7418335
