group_name,value
0,9224
1,9163
2,9054
3,9286
4,9130
5,9403
6,9944
7,10065
8,10204
9,10166
10,10220
11,10008
12,10108
13,10025
14,10028
15,10100
16,9822
17,9557
18,8465
19,7930
20,9045
21,9634
22,10302
23,10316
24,10539
25,10478
26,10577
27,10554
28,10692
29,10994
30,11441
31,11942
32,12038
33,12053
34,11588
35,11389
36,11238
37,11418
38,11220
39,10759
40,10830
41,10535
42,9970
43,9586
44,9019
45,8767
46,8445
47,8098
48,8062
49,7775
50,7970
51,8314
52,8697
53,8523
54,8221
55,7911
56,7903
57,8142
58,8459
59,8732
60,8943
61,8901
62,8965
63,8772
64,8436
65,8248
66,8120
67,7687
68,7689
69,7407
70,6937
71,6424
72,5962
73,5600
74,5220
75,4754
76,4769
77,3313
78,3168
79,2931
80,2682
81,2229
82,2018
83,1713
84+,8440
