group_name,value
0,78075
1,79101
2,76514
3,78959
4,80882
5,82808
6,85303
7,87984
8,90021
9,89883
10,89255
11,89138
12,90107
13,92332
14,95257
15,99276
16,99877
17,98262
18,99195
19,100076
20,97371
21,98911
22,102338
23,104464
24,102044
25,101901
26,101313
27,101026
28,101123
29,102747
30,103283
31,104643
32,105725
33,104796
34,100472
35,98134
36,95847
37,96201
38,95801
39,92962
40,94692
41,94720
42,93973
43,93177
44,88370
45,86163
46,85774
47,83190
48,84535
49,83055
50,82928
51,86081
52,91434
53,89527
54,86221
55,83454
56,82971
57,83840
58,87202
59,89312
60,90149
61,91370
62,91536
63,90566
64,89178
65,89458
66,88789
67,85641
68,83960
69,82025
70,79785
71,77280
72,74638
73,72318
74,71042
75,70550
76,74998
77,52659
78,50022
79,48473
80,48548
81,40290
82,35389
83,31297
84+,177357
