group_name,value
0,35297
1,36502
2,35449
3,36407
4,37179
5,38183
6,38729
7,39684
8,39754
9,39392
10,38995
11,39229
12,39607
13,40428
14,41524
15,43418
16,43387
17,42444
18,40197
19,40212
20,41254
21,40853
22,41672
23,40989
24,40294
25,39681
26,39106
27,38650
28,38874
29,39083
30,39877
31,40995
32,42032
33,41804
34,40264
35,39062
36,38550
37,38495
38,38730
39,38595
40,38953
41,39350
42,39128
43,39239
44,37464
45,36578
46,36273
47,34852
48,35479
49,34830
50,34974
51,36765
52,38654
53,37774
54,35657
55,34691
56,35268
57,35456
58,37757
59,39092
60,39321
61,39306
62,38993
63,38153
64,37554
65,37036
66,36633
67,34856
68,34086
69,33073
70,31648
71,30276
72,28622
73,27183
74,26726
75,25853
76,27413
77,18912
78,18318
79,17494
80,17369
81,14493
82,13003
83,11670
84+,66630
