group_name,value
0,415125
1,421432
2,404928
3,423738
4,432567
5,443800
6,459958
7,471694
8,479383
9,479294
10,479946
11,480598
12,488148
13,493791
14,502328
15,525616
16,525439
17,517884
18,527397
19,512103
20,504094
21,496946
22,506368
23,509583
24,505907
25,513813
26,524910
27,537024
28,551580
29,565913
30,575357
31,592888
32,609020
33,611332
34,589920
35,577242
36,563827
37,559517
38,556237
39,544116
40,548995
41,544277
42,530720
43,525497
44,499332
45,489925
46,485617
47,475431
48,479351
49,469511
50,470485
51,481760
52,504761
53,504538
54,485969
55,472788
56,463330
57,464162
58,476301
59,481619
60,477458
61,472327
62,466308
63,460125
64,441910
65,433425
66,422493
67,403399
68,393936
69,375822
70,357514
71,340394
72,323527
73,312660
74,297805
75,287023
76,294637
77,218368
78,207538
79,195120
80,188201
81,161458
82,143889
83,131522
84+,823202
