group_name,value
0,62168
1,61980
2,61343
3,61780
4,61688
5,63586
6,65256
7,67443
8,68138
9,67989
10,67505
11,67900
12,69490
13,71325
14,72367
15,75316
16,75217
17,74193
18,75957
19,77968
20,74487
21,74118
22,77411
23,79353
24,81236
25,84339
26,86943
27,89402
28,91224
29,93367
30,95387
31,97194
32,97224
33,96645
34,92378
35,91610
36,90330
37,90698
38,89270
39,86724
40,87001
41,85564
42,83673
43,81939
44,77577
45,75324
46,73461
47,70372
48,70628
49,68602
50,68168
51,70898
52,74587
53,72933
54,69294
55,65794
56,64005
57,64100
58,66702
59,68627
60,69263
61,70352
62,70627
63,69277
64,67878
65,67262
66,65799
67,62913
68,61490
69,59298
70,57328
71,54765
72,51625
73,48330
74,46234
75,44575
76,46324
77,31649
78,29477
79,27864
80,27043
81,22400
82,19406
83,17296
84+,101937
