group_name,value
0,10745
1,11150
2,10514
3,10987
4,11075
5,11349
6,11463
7,11755
8,11828
9,11797
10,11753
11,11984
12,12173
13,12316
14,12474
15,12985
16,12817
17,12773
18,13487
19,13477
20,12608
21,11861
22,11931
23,11923
24,11828
25,11774
26,11630
27,11662
28,12130
29,12507
30,12849
31,13327
32,13860
33,14085
34,13796
35,13445
36,13061
37,12947
38,12808
39,12533
40,12710
41,12563
42,12359
43,12266
44,12025
45,11524
46,11124
47,10590
48,10861
49,10749
50,11097
51,11796
52,12728
53,12943
54,12391
55,12520
56,12892
57,13566
58,14216
59,14684
60,14845
61,15152
62,15233
63,15113
64,15158
65,15372
66,15246
67,14578
68,14196
69,13682
70,13110
71,12497
72,11716
73,11073
74,10693
75,10439
76,11024
77,7474
78,7051
79,6783
80,6777
81,5616
82,4717
83,4114
84+,23160
