group_name,value
0,7791
1,8039
2,7846
3,7449
4,7461
5,7682
6,7580
7,7545
8,7570
9,7116
10,7107
11,6958
12,6734
13,6169
14,6007
15,6008
16,5849
17,5681
18,8702
19,11492
20,9793
21,8408
22,7820
23,9676
24,11964
25,13358
26,14219
27,14246
28,14775
29,15023
30,15048
31,15205
32,15273
33,15201
34,14369
35,13852
36,12999
37,12675
38,12134
39,11395
40,11190
41,10751
42,10005
43,9623
44,9087
45,8440
46,7912
47,7236
48,7006
49,6714
50,6790
51,7053
52,7262
53,6925
54,6652
55,6435
56,6302
57,6299
58,6512
59,6598
60,6527
61,6438
62,6196
63,6215
64,5853
65,5791
66,5601
67,5592
68,5499
69,5312
70,4958
71,4696
72,4598
73,4447
74,4201
75,4063
76,3982
77,2957
78,2886
79,2784
80,2639
81,2290
82,2043
83,1883
84+,12510
