group_name,value
0,224670
1,226359
2,217030
3,225412
4,231285
5,235655
6,239240
7,245711
8,246626
9,246024
10,244340
11,245657
12,247422
13,250609
14,255978
15,266786
16,267966
17,264073
18,257747
19,255282
20,252080
21,255588
22,262884
23,267053
24,264391
25,265853
26,266454
27,266303
28,271502
29,278052
30,283235
31,292686
32,302457
33,307410
34,300586
35,295476
36,291327
37,291177
38,290783
39,286291
40,289777
41,288631
42,284412
43,283305
44,273370
45,270800
46,269708
47,262818
48,265662
49,263224
50,270349
51,283588
52,299283
53,293729
54,282620
55,279632
56,284447
57,292486
58,306284
59,314257
60,313748
61,314589
62,313202
63,306874
64,301779
65,299701
66,296034
67,285070
68,279490
69,271987
70,262941
71,256555
72,247767
73,238544
74,235174
75,234374
76,250712
77,180320
78,172548
79,167687
80,169529
81,142845
82,126093
83,113383
84+,685938
