group_name,value
0,125156
1,126779
2,124501
3,128393
4,131003
5,134728
6,136879
7,140364
8,142044
9,141553
10,141295
11,143091
12,145217
13,148562
14,153164
15,159647
16,159727
17,156578
18,149842
19,148074
20,147149
21,147555
22,151360
23,152618
24,148686
25,147671
26,146953
27,145964
28,147932
29,151121
30,154189
31,157224
32,158982
33,159636
34,154947
35,150741
36,148798
37,147837
38,148259
39,145090
40,147663
41,148057
42,147526
43,148266
44,142791
45,139056
46,138024
47,133168
48,136476
49,134870
50,138303
51,145007
52,152259
53,147304
54,139445
55,135101
56,134856
57,136032
58,139828
59,140063
60,137549
61,135649
62,132770
63,128942
64,124696
65,121623
66,119407
67,113222
68,109583
69,104302
70,98825
71,94838
72,89894
73,85763
74,83387
75,81130
76,83890
77,58519
78,55466
79,52398
80,51343
81,42337
82,36899
83,32865
84+,180526
