group_name,value
0,126792
1,129077
2,130714
3,137579
4,140712
5,144919
6,147917
7,152123
8,153215
9,151561
10,150936
11,152599
12,155267
13,159633
14,163033
15,169864
16,170587
17,168994
18,161904
19,160159
20,162147
21,161887
22,165026
23,165280
24,162028
25,162116
26,162747
27,163954
28,167842
29,170164
30,171779
31,174291
32,174708
33,173848
34,168954
35,167610
36,167020
37,168643
38,169898
39,166573
40,168884
41,169091
42,167438
43,168167
44,161233
45,157613
46,156080
47,150529
48,151397
49,148205
50,149379
51,156957
52,165384
53,161895
54,155392
55,152343
56,152670
57,154297
58,159200
59,161951
60,161979
61,162829
62,162933
63,159579
64,156242
65,154059
66,150459
67,143045
68,139392
69,132763
70,126055
71,120522
72,114477
73,107739
74,103376
75,99619
76,103689
77,72567
78,68442
79,66191
80,66801
81,57012
82,49984
83,44551
84+,283179
