group_name,value
0,79101
1,80696
2,78995
3,82933
4,83998
5,85922
6,86627
7,88833
8,89476
9,89083
10,88996
11,88947
12,89248
13,91438
14,93692
15,97075
16,96883
17,95311
18,88593
19,95732
20,97664
21,96712
22,97755
23,94355
24,90312
25,88450
26,88082
27,87785
28,88374
29,89500
30,91297
31,93513
32,93456
33,92281
34,88731
35,86955
36,85953
37,87128
38,87613
39,85705
40,87711
41,88253
42,87833
43,87918
44,85086
45,83106
46,81447
47,78455
48,79620
49,77809
50,79230
51,83292
52,88609
53,85807
54,81321
55,79116
56,80104
57,80906
58,84887
59,87404
60,86916
61,87548
62,87810
63,85590
64,84073
65,83716
66,81873
67,77814
68,75515
69,72456
70,69040
71,66154
72,61889
73,58232
74,56315
75,53677
76,56234
77,38034
78,36153
79,35129
80,35531
81,29870
82,26113
83,23337
84+,142066
