group_name,value
0,36766
1,37162
2,36187
3,37882
4,38042
5,39240
6,39874
7,40879
8,41217
9,41181
10,40704
11,40368
12,40422
13,42127
14,43586
15,45158
16,45103
17,44224
18,43635
19,48521
20,47667
21,46861
22,46791
23,44001
24,41648
25,40199
26,39601
27,39009
28,39216
29,39849
30,40557
31,41113
32,40819
33,40519
34,39181
35,38409
36,38592
37,39858
38,40990
39,40451
40,41552
41,41895
42,41587
43,41378
44,39762
45,38217
46,37158
47,35137
48,35174
49,33802
50,33683
51,35935
52,38285
53,37654
54,36745
55,35744
56,36173
57,36884
58,38597
59,40163
60,41049
61,41978
62,42529
63,41593
64,40884
65,40365
66,39471
67,37823
68,36995
69,35771
70,34270
71,33230
72,31249
73,29045
74,27756
75,26631
76,27786
77,18832
78,17846
79,17481
80,17699
81,14895
82,13447
83,12348
84+,82897
