group_name,value
0,34590
1,34438
2,34227
3,35587
4,36146
5,36699
6,37609
7,38753
8,38922
9,39210
10,39446
11,39464
12,39938
13,40971
14,41554
15,42595
16,42456
17,41732
18,40379
19,43411
20,45151
21,43934
22,44114
23,42889
24,39782
25,38412
26,37219
27,37130
28,37360
29,37292
30,37898
31,38233
32,38018
33,37913
34,37177
35,37048
36,37108
37,38202
38,38764
39,38474
40,39001
41,39023
42,38368
43,37650
44,35841
45,34591
46,34265
47,32479
48,32550
49,31218
50,31211
51,32430
52,34512
53,33814
54,32445
55,31299
56,31510
57,32319
58,34108
59,35749
60,36353
61,36986
62,37060
63,36359
64,35766
65,35563
66,35001
67,33401
68,32563
69,31567
70,29965
71,28651
72,26938
73,25074
74,23884
75,22971
76,24276
77,16416
78,15654
79,15339
80,15183
81,12603
82,11218
83,10161
84+,66966
