group_name,value
0,52111
1,52584
2,51638
3,53364
4,54165
5,55237
6,55812
7,56793
8,57151
9,57094
10,56839
11,56634
12,56592
13,57852
14,59460
15,61740
16,61593
17,60236
18,56142
19,54673
20,56803
21,58045
22,60793
23,61227
24,59743
25,58850
26,57551
27,57585
28,58252
29,58949
30,59676
31,61323
32,62205
33,61842
34,59022
35,56539
36,55607
37,55492
38,56050
39,55497
40,56968
41,57328
42,57666
43,58330
44,56523
45,55574
46,55316
47,52948
48,53572
49,52822
50,53524
51,56943
52,60101
53,57760
54,55622
55,54509
56,55125
57,56022
58,58540
59,60532
60,59944
61,60091
62,59568
63,58032
64,57276
65,56711
66,55762
67,53068
68,51917
69,50050
70,47467
71,45722
72,43202
73,40734
74,39694
75,37991
76,40020
77,26752
78,25329
79,24399
80,24175
81,19927
82,17755
83,15818
84+,90264
