group_name,value
0,55838
1,56006
2,55733
3,55437
4,56413
5,57869
6,59069
7,60700
8,60717
9,60103
10,58882
11,58542
12,58735
13,60271
14,62108
15,64585
16,64059
17,62082
18,58840
19,57729
20,57840
21,59257
22,61546
23,61835
24,59478
25,57657
26,56640
27,55611
28,56787
29,58557
30,60330
31,62124
32,64227
33,64079
34,62524
35,60996
36,60619
37,61301
38,62108
39,60771
40,61841
41,62057
42,61026
43,59956
44,56867
45,54914
46,54036
47,51003
48,50614
49,49425
50,49966
51,52520
52,55210
53,53973
54,52680
55,52303
56,53022
57,54319
58,56737
59,58330
60,58164
61,59004
62,58683
63,58276
64,57163
65,55988
66,55469
67,53458
68,52211
69,49648
70,46843
71,44511
72,42551
73,40017
74,38085
75,36629
76,38119
77,26322
78,25133
79,23766
80,23381
81,19476
82,17322
83,15500
84+,89226
