group_name,value
0,11892
1,12068
2,11835
3,12859
4,12991
5,13043
6,13429
7,13888
8,13971
9,13972
10,13987
11,13918
12,13977
13,14648
14,15097
15,15654
16,15937
17,15886
18,16540
19,17158
20,16289
21,15454
22,15282
23,14962
24,15041
25,15229
26,15450
27,15811
28,16298
29,16872
30,17135
31,17583
32,17835
33,18324
34,18184
35,17886
36,17694
37,17931
38,17738
39,17104
40,17343
41,17161
42,16948
43,16868
44,16432
45,15976
46,15694
47,15134
48,15639
49,15531
50,16005
51,17343
52,18752
53,18553
54,18158
55,18111
56,18657
57,19102
58,20013
59,21200
60,21624
61,22045
62,22335
63,21621
64,21784
65,21988
66,21628
67,20606
68,20090
69,19675
70,19103
71,18254
72,17149
73,16131
74,15803
75,15355
76,16057
77,10643
78,10087
79,9956
80,9911
81,8055
82,6919
83,6123
84+,37308
