group_name,value
0,68060
1,69378
2,67804
3,71747
4,72724
5,74179
6,74790
7,76399
8,76490
9,76125
10,75821
11,76354
12,77644
13,78832
14,79865
15,82947
16,82237
17,80520
18,79020
19,73902
20,73124
21,72775
22,73724
23,73983
24,73082
25,73313
26,74146
27,74596
28,76802
29,78925
30,80890
31,83118
32,85257
33,87190
34,86209
35,86111
36,86199
37,86422
38,86257
39,84579
40,85415
41,84957
42,84341
43,83705
44,79606
45,77286
46,76144
47,73034
48,73258
49,71480
50,73475
51,77754
52,82911
53,82111
54,79667
55,79326
56,79957
57,81764
58,83964
59,85426
60,84338
61,83075
62,81995
63,79808
64,77532
65,75508
66,73026
67,68721
68,66451
69,63458
70,60495
71,57611
72,54976
73,51959
74,50566
75,49462
76,51293
77,36255
78,34468
79,32664
80,32646
81,27778
82,24312
83,21652
84+,133083
