group_name,value
0,69103
1,69691
2,66750
3,68967
4,69432
5,71205
6,72161
7,73508
8,74101
9,74225
10,74615
11,75211
12,76280
13,77562
14,79093
15,82505
16,83468
17,83924
18,96722
19,105533
20,101264
21,97197
22,95075
23,92456
24,92960
25,94179
26,94383
27,95484
28,96404
29,97358
30,98096
31,97959
32,98327
33,99777
34,98950
35,98804
36,97821
37,96825
38,95203
39,91291
40,91688
41,90700
42,88571
43,87624
44,85134
45,83412
46,81827
47,79265
48,80578
49,79794
50,81368
51,85815
52,92112
53,92209
54,90558
55,90066
56,91739
57,93482
58,96361
59,97692
60,97010
61,96558
62,95901
63,93174
64,91218
65,90269
66,87357
67,82813
68,80431
69,76853
70,73529
71,70306
72,66695
73,62988
74,61532
75,60100
76,63118
77,43643
78,41200
79,39766
80,39888
81,33275
82,28576
83,25546
84+,165789
