group_name,value
0,63637
1,65087
2,63796
3,67484
4,68426
5,69818
6,71804
7,73529
8,74067
9,73965
10,73535
11,73429
12,73459
13,75296
14,76956
15,79558
16,79223
17,77865
18,73879
19,73942
20,73130
21,71981
22,73188
23,71016
24,69657
25,69256
26,70234
27,70815
28,72593
29,74383
30,75154
31,76418
32,76142
33,76621
34,76514
35,76925
36,77652
37,79403
38,80203
39,78715
40,79871
41,79875
42,78502
43,77060
44,73270
45,70144
46,67675
47,64247
48,64227
49,61618
50,61600
51,64917
52,70100
53,69719
54,67590
55,66002
56,66635
57,68308
58,71619
59,74337
60,75615
61,76713
62,77221
63,75445
64,73603
65,72380
66,70084
67,66354
68,64355
69,62131
70,59515
71,57374
72,53601
73,49932
74,47417
75,45273
76,47059
77,32090
78,30950
79,30143
80,30497
81,25649
82,22707
83,20656
84+,135080
