group_name,value
0,34372
1,34415
2,34674
3,35015
4,35394
5,36036
6,36060
7,36989
8,37105
9,37104
10,36911
11,37531
12,37865
13,39242
14,41334
15,43566
16,43972
17,42241
18,40725
19,41926
20,40445
21,40112
22,41304
23,40746
24,38273
25,37177
26,36009
27,35750
28,36341
29,37290
30,38134
31,38918
32,39408
33,39098
34,37512
35,35759
36,35344
37,35815
38,36310
39,35904
40,36867
41,37581
42,37521
43,37605
44,36061
45,35193
46,35108
47,33646
48,33878
49,33384
50,34099
51,36051
52,38062
53,36862
54,35048
55,34466
56,34494
57,35062
58,36980
59,37805
60,37695
61,38152
62,38083
63,37478
64,36721
65,36005
66,35673
67,34131
68,33269
69,31908
70,30129
71,28839
72,27690
73,25982
74,24967
75,24144
76,25305
77,17322
78,16458
79,15563
80,15312
81,12923
82,11564
83,10456
84+,60022
