group_name,value
0,67996
1,69034
2,69108
3,72241
4,73138
5,74514
6,75080
7,76712
8,77212
9,77209
10,76495
11,76723
12,77606
13,79189
14,81219
15,84114
16,84156
17,82724
18,77692
19,80305
20,80761
21,80976
22,82639
23,81838
24,79824
25,79161
26,78605
27,78172
28,78821
29,80514
30,81966
31,84542
32,85295
33,84422
34,81169
35,79624
36,79766
37,81040
38,81266
39,79488
40,81175
41,80962
42,80258
43,79630
44,76017
45,73973
46,72264
47,68680
48,69435
49,67833
50,68583
51,72860
52,77713
53,75975
54,72539
55,70597
56,71871
57,73512
58,77885
59,81085
60,82620
61,84074
62,84490
63,82329
64,80825
65,79502
66,78056
67,74181
68,71512
69,68652
70,65105
71,62636
72,59140
73,55483
74,53559
75,51738
76,54704
77,37292
78,35749
79,34804
80,34988
81,29484
82,25891
83,22931
84+,141208
