group_name,value
0,32716
1,33592
2,33917
3,35192
4,36023
5,36420
6,37390
7,38825
8,38974
9,38686
10,38625
11,38752
12,39715
13,39993
14,40872
15,42744
16,42362
17,41158
18,36602
19,32891
20,33729
21,34991
22,37262
23,39009
24,39900
25,41222
26,42243
27,43305
28,44547
29,45536
30,46465
31,48331
32,49127
33,49621
34,47731
35,46569
36,45966
37,45517
38,45584
39,44658
40,44957
41,44619
42,43689
43,43380
44,41185
45,40163
46,39540
47,38206
48,38641
49,38151
50,38602
51,40362
52,42756
53,42135
54,40412
55,39005
56,38736
57,39060
58,40178
59,40511
60,40282
61,40325
62,39820
63,39185
64,37805
65,37830
66,37306
67,36132
68,35440
69,33954
70,32547
71,31146
72,29791
73,28751
74,27931
75,27370
76,28599
77,20189
78,18875
79,18103
80,17563
81,14439
82,12413
83,10909
84+,56421
