group_name,value
0,12164
1,12523
2,12274
3,12727
4,12897
5,13010
6,13306
7,13664
8,13869
9,13935
10,14174
11,14195
12,14646
13,14923
14,15267
15,16060
16,16184
17,16232
18,16866
19,17799
20,18148
21,18057
22,17155
23,15852
24,15957
25,15952
26,16587
27,16946
28,17494
29,18192
30,18355
31,18523
32,18959
33,18935
34,18600
35,18555
36,18440
37,18553
38,18099
39,17421
40,17631
41,17539
42,17185
43,16919
44,16294
45,15749
46,15533
47,15023
48,15637
49,15649
50,16357
51,17834
52,19420
53,19347
54,19040
55,18979
56,19594
57,20115
58,21179
59,22125
60,22479
61,22615
62,22741
63,22084
64,21965
65,21537
66,20969
67,19451
68,18714
69,17944
70,17077
71,16247
72,15238
73,14280
74,13993
75,13700
76,14406
77,9495
78,8890
79,8575
80,8624
81,7208
82,6115
83,5300
84+,33763
