group_name,value
0,102477
1,104348
2,100230
3,105135
4,106880
5,108990
6,109711
7,111351
8,111606
9,111370
10,111623
11,112472
12,114228
13,116129
14,117793
15,122262
16,122569
17,121116
18,113750
19,106146
20,108426
21,109643
22,111996
23,111660
24,110636
25,110763
26,112326
27,114215
28,116098
29,118308
30,121053
31,122706
32,124403
33,126195
34,124403
35,123382
36,123610
37,124518
38,124957
39,122630
40,124062
41,124385
42,123008
43,123523
44,119577
45,117843
46,116888
47,113755
48,115270
49,113009
50,114354
51,119630
52,126974
53,126518
54,122867
55,121914
56,122719
57,124934
58,127824
59,129118
60,128416
61,126860
62,125452
63,122546
64,118937
65,116705
66,112902
67,105945
68,101986
69,96657
70,91472
71,86990
72,82776
73,78428
74,75678
75,74434
76,78657
77,56746
78,52900
79,50744
80,51742
81,43843
82,37986
83,33984
84+,217769
