group_name,value
0,120602
1,123076
2,119646
3,121061
4,122070
5,124879
6,126360
7,128766
8,129902
9,129093
10,128618
11,129359
12,130525
13,135099
14,138949
15,144163
16,143493
17,140962
18,144801
19,150255
20,148118
21,145481
22,146871
23,145024
24,141639
25,140072
26,138498
27,139449
28,142088
29,145770
30,147804
31,150758
32,152709
33,152691
34,147882
35,143795
36,140935
37,140410
38,139290
39,135315
40,138210
41,138246
42,136793
43,137661
44,133473
45,132417
46,131822
47,127391
48,129992
49,128652
50,132069
51,139827
52,148506
53,144688
54,137882
55,134353
56,134213
57,134611
58,138499
59,142165
60,140704
61,140340
62,139259
63,135523
64,133428
65,132120
66,129375
67,123546
68,120349
69,116819
70,111794
71,107665
72,101733
73,96309
74,93749
75,91746
76,96472
77,66563
78,62720
79,59701
80,58871
81,48582
82,42337
83,37392
84+,210646
