group_name,value
0,9626
1,9763
2,9775
3,10085
4,10058
5,10297
6,10691
7,10899
8,10816
9,10675
10,10463
11,10367
12,10017
13,10111
14,10248
15,10447
16,10314
17,10082
18,10993
19,13907
20,12587
21,12492
22,13202
23,12634
24,11751
25,11261
26,10655
27,10406
28,10530
29,10764
30,10973
31,11278
32,11370
33,11357
34,10919
35,10678
36,10528
37,10648
38,10771
39,10447
40,10537
41,10317
42,10021
43,9609
44,9052
45,8659
46,8291
47,7782
48,7867
49,7531
50,7472
51,7714
52,7988
53,7961
54,7872
55,7701
56,7775
57,7950
58,8344
59,8826
60,9031
61,9354
62,9411
63,9356
64,9304
65,9298
66,9003
67,8641
68,8463
69,8091
70,7685
71,7396
72,6754
73,6296
74,5898
75,5621
76,5839
77,4045
78,3976
79,3794
80,3813
81,3216
82,2866
83,2633
84+,19988
