group_name,value
0,47714
1,48302
2,48091
3,49622
4,50548
5,51880
6,53256
7,54670
8,54982
9,55313
10,55157
11,54939
12,55034
13,56005
14,56985
15,58868
16,58428
17,56813
18,54482
19,56948
20,57268
21,56820
22,58134
23,57611
24,56494
25,55034
26,53545
27,52529
28,53105
29,53706
30,54643
31,56683
32,56956
33,56375
34,54508
35,53259
36,52816
37,53892
38,54511
39,54261
40,55358
41,54896
42,53536
43,52999
44,50044
45,47971
46,47207
47,45548
48,45912
49,44146
50,44707
51,46365
52,48811
53,47362
54,45082
55,43160
56,43109
57,43938
58,46398
59,48177
60,49394
61,49873
62,49654
63,48840
64,47512
65,46960
66,46110
67,44128
68,42935
69,41359
70,39347
71,37172
72,35069
73,32931
74,31828
75,30802
76,32466
77,22381
78,21965
79,21349
80,20601
81,17180
82,15321
83,13855
84+,79879
