group_name,value
0,38904
1,40658
2,39367
3,41506
4,41897
5,43343
6,44859
7,46764
8,47494
9,47660
10,47383
11,47807
12,48150
13,49375
14,50437
15,52576
16,52324
17,51326
18,49616
19,49169
20,49869
21,50518
22,52407
23,53222
24,52967
25,53680
26,54575
27,55419
28,56782
29,58029
30,59614
31,61817
32,63779
33,63982
34,61715
35,60656
36,59993
37,60189
38,60412
39,59251
40,60600
41,60347
42,59603
43,58892
44,56491
45,55121
46,54141
47,51943
48,51703
49,49962
50,49486
51,51188
52,54612
53,53728
54,51415
55,48658
56,47953
57,47994
58,49160
59,50474
60,51395
61,52211
62,53173
63,52438
64,51905
65,52652
66,52888
67,51553
68,51523
69,51443
70,50473
71,48686
72,46079
73,43537
74,42108
75,40583
76,42567
77,28900
78,27510
79,26257
80,25689
81,20976
82,18288
83,16231
84+,91331
