group_name,value
0,128878
1,131810
2,130769
3,136329
4,138121
5,141068
6,143054
7,146199
8,147975
9,148046
10,147718
11,148345
12,149443
13,152398
14,155977
15,161267
16,161567
17,160041
18,172891
19,186857
20,173661
21,164521
22,159455
23,154377
24,152432
25,152037
26,154474
27,157575
28,161218
29,165204
30,168741
31,172432
32,175159
33,178836
34,177488
35,174658
36,171678
37,170507
38,167927
39,162990
40,164331
41,163927
42,160752
43,159272
44,153114
45,149927
46,147459
47,141413
48,143461
49,141877
50,146155
51,156332
52,168423
53,165967
54,162066
55,160478
56,164064
57,166937
58,173859
59,177945
60,177667
61,179285
62,181173
63,178189
64,177813
65,178471
66,174575
67,165473
68,161024
69,155428
70,149078
71,142952
72,133970
73,124983
74,121412
75,119006
76,126010
77,84982
78,79657
79,78117
80,80393
81,67573
82,59228
83,52581
84+,340761
