group_name,value
0,10018
1,10520
2,10080
3,10672
4,10920
5,11011
6,11225
7,11443
8,11355
9,11315
10,11300
11,11325
12,11396
13,11597
14,11778
15,12446
16,12645
17,12792
18,16339
19,18163
20,16978
21,15705
22,14400
23,13648
24,13578
25,13578
26,13875
27,14059
28,14656
29,15082
30,15469
31,15490
32,16044
33,16320
34,16000
35,15541
36,15053
37,14566
38,14368
39,14040
40,13953
41,14042
42,13857
43,13634
44,12951
45,12528
46,12297
47,11727
48,11975
49,11959
50,12274
51,13160
52,14087
53,14167
54,13987
55,14135
56,14637
57,14894
58,15538
59,15544
60,15362
61,15624
62,15483
63,14998
64,14811
65,14896
66,14551
67,13839
68,13343
69,12631
70,11951
71,11404
72,10742
73,10196
74,9805
75,9502
76,10080
77,6968
78,6588
79,6344
80,6415
81,5322
82,4672
83,4138
84+,28161
