group_name,value
0,57279
1,58227
2,58104
3,58636
4,59366
5,60746
6,61512
7,63186
8,63844
9,63856
10,63365
11,63781
12,64599
13,66993
14,69165
15,71581
16,71128
17,68833
18,70002
19,73457
20,69272
21,68762
22,69476
23,68972
24,66874
25,66156
26,65226
27,65098
28,66113
29,67653
30,68788
31,71265
32,73528
33,73896
34,71763
35,69692
36,67691
37,67351
38,67294
39,66347
40,67547
41,67780
42,66968
43,66519
44,64302
45,63289
46,62408
47,59726
48,61192
49,60782
50,62663
51,66121
52,70240
53,68775
54,66081
55,64980
56,66039
57,67737
58,70678
59,72611
60,72428
61,72853
62,72864
63,71559
64,70605
65,70447
66,69998
67,67288
68,66001
69,63957
70,61087
71,58938
72,56368
73,53505
74,52219
75,51201
76,53950
77,36862
78,34935
79,32996
80,32128
81,26161
82,22838
83,20030
84+,107022
