group_name,value
0,81959
1,82331
2,80622
3,82634
4,83834
5,85408
6,85330
7,87258
8,87748
9,87147
10,86891
11,86967
12,86916
13,88971
14,91991
15,96054
16,95330
17,93337
18,86839
19,85320
20,87576
21,89136
22,92966
23,96065
24,96610
25,95561
26,95418
27,95678
28,97327
29,98917
30,99727
31,101505
32,103163
33,101764
34,98218
35,94549
36,92791
37,92107
38,91407
39,89330
40,91492
41,91463
42,90085
43,90972
44,87958
45,86613
46,85798
47,82217
48,84202
49,83367
50,85374
51,90207
52,96093
53,93696
54,89094
55,86084
56,86455
57,88402
58,92317
59,94319
60,93341
61,92435
62,91861
63,89763
64,88183
65,87360
66,85891
67,81961
68,79579
69,77087
70,72708
71,69208
72,65767
73,62093
74,60841
75,59378
76,62668
77,42222
78,40283
79,38520
80,38256
81,31628
82,27556
83,24397
84+,134593
