group_name,value
0,45759
1,45687
2,44955
3,47273
4,47621
5,48124
6,49802
7,51892
8,52500
9,52739
10,53003
11,52608
12,53629
13,55477
14,57067
15,58947
16,58696
17,57373
18,55226
19,52447
20,52649
21,55735
22,60520
23,63260
24,59997
25,56285
26,53907
27,51864
28,50878
29,50230
30,49499
31,50414
32,50012
33,48713
34,47039
35,45556
36,44109
37,44763
38,45724
39,45946
40,47606
41,48105
42,48112
43,48190
44,46728
45,45941
46,44421
47,41146
48,39491
49,37119
50,35982
51,36150
52,36777
53,34922
54,32971
55,31182
56,30730
57,29860
58,30218
59,30973
60,31341
61,31793
62,31750
63,30830
64,30335
65,30093
66,29548
67,28032
68,27302
69,26387
70,25211
71,23824
72,22244
73,20855
74,20211
75,19343
76,19965
77,13727
78,13190
79,12983
80,12712
81,10417
82,9085
83,8089
84+,43918
