group_name,value
0,5112
1,5494
2,5285
3,5654
4,5803
5,5959
6,6170
7,6402
8,6464
9,6653
10,6530
11,6613
12,6681
13,6755
14,6973
15,7338
16,7379
17,7371
18,9087
19,10653
20,10291
21,9535
22,8724
23,7818
24,7407
25,7229
26,7101
27,7185
28,7569
29,7649
30,7938
31,8133
32,8204
33,8180
34,8004
35,8169
36,8106
37,8072
38,8158
39,8127
40,8243
41,8221
42,8028
43,7956
44,7737
45,7561
46,7390
47,7093
48,7174
49,7072
50,7215
51,7674
52,8516
53,8427
54,8245
55,8112
56,8266
57,8467
58,9016
59,9313
60,9521
61,9737
62,9934
63,9736
64,9712
65,9771
66,9616
67,9220
68,9083
69,8877
70,8610
71,8269
72,7759
73,7261
74,7075
75,6831
76,7085
77,4861
78,4706
79,4500
80,4479
81,3556
82,3042
83,2659
84+,15863
