group_name,value
0,17135
1,17178
2,17288
3,17875
4,17923
5,18330
6,18642
7,19220
8,19774
9,20119
10,20309
11,20110
12,20285
13,20668
14,21245
15,22300
16,22089
17,21722
18,21663
19,22022
20,22163
21,22596
22,22941
23,22549
24,21371
25,20912
26,20582
27,20753
28,20891
29,21122
30,21373
31,22105
32,22656
33,22272
34,21408
35,20402
36,20235
37,20158
38,20295
39,20001
40,21184
41,21584
42,21911
43,22358
44,22078
45,21895
46,21848
47,20864
48,21394
49,21100
50,21752
51,23016
52,24471
53,23423
54,22496
55,22012
56,22387
57,22610
58,23509
59,23997
60,23858
61,23902
62,24383
63,24123
64,24555
65,24928
66,24689
67,23653
68,23451
69,22847
70,22265
71,21900
72,20825
73,19904
74,19637
75,18770
76,19555
77,12811
78,12102
79,11676
80,11648
81,9718
82,8732
83,7626
84+,43942
