group_name,value
0,5847
1,6071
2,6126
3,6332
4,6409
5,6641
6,6951
7,7346
8,7320
9,7377
10,7402
11,7304
12,7513
13,7827
14,8169
15,8394
16,8364
17,8156
18,7653
19,7782
20,7646
21,7700
22,7959
23,7563
24,7136
25,6991
26,7044
27,6864
28,6869
29,7191
30,7237
31,7549
32,7691
33,7810
34,7567
35,7479
36,7652
37,7845
38,8048
39,7994
40,8075
41,8084
42,7866
43,7876
44,7444
45,7137
46,6958
47,6564
48,6588
49,6346
50,6267
51,6463
52,6858
53,6837
54,6422
55,6118
56,6224
57,6177
58,6737
59,7200
60,7406
61,7639
62,8046
63,8065
64,7976
65,7952
66,8068
67,7762
68,7550
69,7246
70,6947
71,6511
72,5991
73,5642
74,5364
75,5066
76,5359
77,3493
78,3391
79,3272
80,3162
81,2599
82,2263
83,2018
84+,12209
