group_name,value
0,57885
1,58419
2,58006
3,59016
4,59779
5,61507
6,61999
7,62999
8,63416
9,62673
10,62154
11,62540
12,63387
13,64905
14,66848
15,69479
16,68941
17,66887
18,67793
19,71779
20,68567
21,68152
22,69247
23,68558
24,66199
25,64933
26,63403
27,62633
28,63533
29,65238
30,66208
31,68027
32,69865
33,69943
34,67012
35,64362
36,63238
37,62988
38,63208
39,61800
40,62851
41,63756
42,63508
43,64058
44,61428
45,60548
46,60209
47,58168
48,59160
49,59241
50,60692
51,64276
52,68132
53,65820
54,62717
55,61348
56,61567
57,63053
58,66021
59,67688
60,67368
61,68042
62,67832
63,66322
64,64825
65,64174
66,63606
67,61003
68,59017
69,56690
70,54066
71,51517
72,48971
73,46398
74,45481
75,44035
76,46168
77,31784
78,30468
79,29050
80,28898
81,23930
82,20815
83,18733
84+,107508
