group_name,value
0,34935
1,36422
2,35490
3,36634
4,37192
5,38103
6,38459
7,39348
8,39860
9,39785
10,40014
11,40421
12,41360
13,42312
14,43763
15,45949
16,46502
17,46437
18,49584
19,50221
20,50756
21,49084
22,47176
23,44680
24,43824
25,43469
26,43592
27,43670
28,44507
29,45605
30,46112
31,46358
32,46084
33,46723
34,46452
35,46860
36,47132
37,47748
38,47458
39,46497
40,46765
41,46640
42,45640
43,45779
44,44085
45,43456
46,42801
47,41500
48,41712
49,41076
50,42132
51,45005
52,48836
53,49217
54,48339
55,48063
56,49145
57,50219
58,52191
59,52835
60,51968
61,51726
62,51492
63,50254
64,48948
65,48361
66,46736
67,43931
68,42455
69,40452
70,38417
71,36477
72,34023
73,32363
74,31500
75,30996
76,33242
77,23690
78,22366
79,21835
80,22320
81,18587
82,15825
83,14121
84+,93077
