group_name,value
0,15147
1,15624
2,15107
3,15670
4,16102
5,16228
6,16693
7,17041
8,17115
9,17198
10,17197
11,17041
12,16914
13,16441
14,16027
15,16486
16,15942
17,15640
18,14863
19,14997
20,16347
21,16653
22,17578
23,17392
24,17582
25,17322
26,17572
27,17522
28,17789
29,18415
30,18622
31,19268
32,20114
33,19892
34,19359
35,19515
36,19584
37,19814
38,19505
39,19444
40,19683
41,19532
42,18831
43,18854
44,17867
45,17315
46,16978
47,16532
48,16379
49,16180
50,16299
51,16703
52,17588
53,17915
54,17097
55,16772
56,16498
57,16979
58,17608
59,17824
60,18214
61,18083
62,18004
63,18338
64,17797
65,17862
66,17762
67,17438
68,17294
69,16937
70,16894
71,16214
72,15363
73,15388
74,14725
75,14291
76,14182
77,10993
78,10461
79,9960
80,9021
81,7781
82,6906
83,6278
84+,46756
