group_name,value
0,22331
1,22401
2,22331
3,23038
4,23282
5,24111
6,25246
7,26356
8,26752
9,26442
10,26501
11,26494
12,26965
13,27940
14,28758
15,29724
16,29625
17,29045
18,32404
19,30180
20,25157
21,25387
22,26926
23,27162
24,26457
25,25540
26,25214
27,24690
28,24847
29,25182
30,25229
31,25885
32,26175
33,26256
34,25513
35,25338
36,25415
37,25714
38,25782
39,25608
40,26026
41,26231
42,26088
43,26014
44,25152
45,24299
46,23846
47,22491
48,22476
49,21472
50,21145
51,21876
52,22964
53,22511
54,21698
55,21149
56,21039
57,21047
58,21814
59,22616
60,23216
61,23904
62,24219
63,23596
64,23304
65,23357
66,23527
67,22409
68,21770
69,21165
70,20672
71,19706
72,18441
73,17310
74,16656
75,16161
76,17058
77,11571
78,11078
79,10636
80,10514
81,8590
82,7476
83,6685
84+,36348
