group_name,value
0,101385
1,104476
2,103519
3,109751
4,110831
5,113724
6,115663
7,118401
8,119442
9,119310
10,118441
11,118518
12,119734
13,122825
14,125117
15,130062
16,130625
17,130087
18,129595
19,126741
20,130740
21,133739
22,136850
23,135443
24,129999
25,126979
26,125446
27,125533
28,128654
29,131890
30,133845
31,137175
32,140432
33,138681
34,130321
35,125198
36,122455
37,122772
38,123396
39,120576
40,122892
41,123191
42,122527
43,122356
44,119044
45,116405
46,114624
47,110421
48,112556
49,111571
50,115170
51,123201
52,132909
53,130449
54,126029
55,124223
56,126313
57,127943
58,132812
59,137441
60,138026
61,139353
62,139829
63,136691
64,136162
65,136568
66,134121
67,127239
68,123470
69,118966
70,113675
71,109511
72,103026
73,95557
74,92315
75,88973
76,92806
77,62989
78,59390
79,57634
80,59117
81,49630
82,42759
83,37307
84+,221699
