group_name,value
0,11266
1,11357
2,11147
3,11784
4,12020
5,12372
6,12894
7,13554
8,13686
9,13553
10,13457
11,13617
12,13462
13,13753
14,14137
15,14655
16,14646
17,14291
18,13171
19,13844
20,14222
21,14739
22,15505
23,15624
24,14932
25,14603
26,14248
27,14245
28,14447
29,14608
30,15018
31,15331
32,15486
33,15264
34,14897
35,14723
36,14591
37,14598
38,14808
39,14822
40,15120
41,15085
42,14830
43,14716
44,14037
45,13654
46,13173
47,12495
48,12265
49,11724
50,11962
51,12220
52,13266
53,12842
54,12482
55,12105
56,12211
57,12533
58,13414
59,14278
60,14694
61,15415
62,15579
63,15644
64,15707
65,15839
66,15712
67,15099
68,14893
69,14714
70,14289
71,13812
72,12831
73,11971
74,11455
75,10770
76,11185
77,7631
78,7208
79,6912
80,6800
81,5695
82,5039
83,4412
84+,25717
