group_name,value
0,24144
1,24372
2,24488
3,25212
4,25443
5,26025
6,26701
7,27326
8,27421
9,27371
10,26997
11,26846
12,26834
13,27631
14,28317
15,28995
16,28762
17,28113
18,26930
19,28356
20,29060
21,28617
22,28075
23,27494
24,26316
25,25338
26,25061
27,24755
28,25068
29,25467
30,25467
31,25933
32,25592
33,25174
34,24723
35,25106
36,25664
37,25996
38,26614
39,26268
40,26767
41,26806
42,26204
43,25947
44,24263
45,23476
46,22806
47,21798
48,21993
49,20977
50,20906
51,21958
52,22901
53,22269
54,21518
55,20747
56,20914
57,21301
58,22483
59,23606
60,24042
61,24551
62,24608
63,24186
64,23734
65,23416
66,22867
67,21957
68,21499
69,20685
70,19826
71,19173
72,18138
73,16968
74,16240
75,15347
76,15901
77,10702
78,10342
79,10092
80,9921
81,8360
82,7311
83,6727
84+,44074
