group_name,value
0,20589
1,20921
2,21293
3,21816
4,22702
5,23270
6,23851
7,24923
8,25389
9,25579
10,25951
11,26029
12,26407
13,27339
14,28088
15,29156
16,29279
17,28765
18,28367
19,28896
20,29289
21,28901
22,28685
23,28608
24,27649
25,27017
26,26363
27,26430
28,27144
29,27451
30,28215
31,29005
32,28748
33,28851
34,27752
35,27663
36,27963
37,27822
38,28192
39,27732
40,27820
41,27463
42,26809
43,26554
44,25111
45,24464
46,23950
47,23146
48,23044
49,22452
50,22700
51,23575
52,24539
53,24179
54,23535
55,23044
56,23178
57,23660
58,25121
59,26066
60,26801
61,27936
62,27982
63,27712
64,26889
65,26983
66,27062
67,26187
68,25722
69,25214
70,24556
71,23799
72,22746
73,21956
74,21289
75,20503
76,20942
77,14960
78,14161
79,13216
80,12787
81,10750
82,9496
83,8440
84+,47782
