group_name,value
0,209673
1,208015
2,198250
3,209648
4,213230
5,216890
6,218390
7,221231
8,222573
9,220916
10,221549
11,222249
12,224944
13,225671
14,226081
15,233776
16,233894
17,232928
18,248332
19,249371
20,250657
21,246244
22,243775
23,249558
24,253398
25,258171
26,261362
27,266469
28,270588
29,276260
30,277669
31,279633
32,284018
33,285312
34,276812
35,271700
36,266543
37,263481
38,260096
39,251396
40,252994
41,250067
42,245378
43,246066
44,237893
45,232274
46,230111
47,224087
48,228419
49,222879
50,225088
51,237180
52,254889
53,256875
54,250371
55,247683
56,249993
57,255620
58,265453
59,269245
60,266286
61,263739
62,262819
63,259067
64,251886
65,247191
66,240318
67,229164
68,223012
69,211717
70,200986
71,193283
72,184895
73,177259
74,170269
75,164675
76,170324
77,122958
78,116772
79,111115
80,110939
81,95309
82,84434
83,76736
84+,502745
