group_name,value
0,128059
1,129457
2,129285
3,134972
4,136920
5,140262
6,141417
7,144326
8,145591
9,145496
10,145128
11,144045
12,144151
13,147684
14,151942
15,156828
16,157042
17,155649
18,148320
19,150234
20,146830
21,146578
22,151129
23,151854
24,149866
25,149256
26,148556
27,149426
28,151522
29,154051
30,156896
31,160408
32,162042
33,162031
34,158075
35,153137
36,150636
37,150834
38,149906
39,145584
40,147746
41,148991
42,147982
43,147574
44,142253
45,138131
46,136018
47,130979
48,133444
49,131094
50,133996
51,143401
52,154444
53,150854
54,144823
55,141374
56,143085
57,144934
58,150849
59,155263
60,155765
61,157777
62,159326
63,155800
64,155657
65,156005
66,152879
67,144668
68,140806
69,134892
70,128314
71,123710
72,116794
73,109455
74,106296
75,102719
76,108326
77,71932
78,66334
79,63949
80,65992
81,56354
82,49464
83,43830
84+,266231
