group_name,value
0,11434
1,11506
2,11212
3,11819
4,11964
5,12299
6,12375
7,12614
8,12531
9,12520
10,12481
11,12367
12,12415
13,12607
14,12837
15,13244
16,13066
17,12607
18,11718
19,12656
20,12346
21,12115
22,12444
23,12362
24,11786
25,11522
26,11428
27,11331
28,11316
29,11440
30,11617
31,11833
32,11569
33,11593
34,11538
35,11626
36,11782
37,11789
38,11981
39,11782
40,11789
41,11789
42,11820
43,11651
44,10876
45,10415
46,10244
47,9685
48,9588
49,9191
50,9189
51,9527
52,10047
53,10103
54,9686
55,9563
56,9853
57,10274
58,10828
59,11588
60,11901
61,12305
62,12536
63,12409
64,12152
65,12242
66,11905
67,11496
68,11327
69,10979
70,10306
71,9771
72,9198
73,8382
74,7858
75,7409
76,7340
77,4986
78,4737
79,4602
80,4573
81,3788
82,3271
83,3040
84+,21627
