group_name,value
0,389814
1,390289
2,378282
3,385255
4,393253
5,402314
6,413833
7,428696
8,432975
9,430468
10,425313
11,422015
12,427974
13,438013
14,444953
15,458391
16,454437
17,444850
18,425776
19,421700
20,417202
21,416060
22,427584
23,431915
24,425857
25,424699
26,426755
27,427578
28,430973
29,438694
30,445825
31,454454
32,455255
33,454439
34,442665
35,438529
36,438230
37,439879
38,439642
39,431249
40,437083
41,434869
42,425788
43,421973
44,400694
45,390302
46,385182
47,374244
48,374090
49,365477
50,365102
51,375200
52,386057
53,372117
54,351589
55,339701
56,332203
57,331998
58,339337
59,343369
60,341096
61,338582
62,332498
63,325467
64,315135
65,307747
66,298583
67,283664
68,274007
69,260543
70,246880
71,233852
72,220508
73,208480
74,199776
75,192821
76,197856
77,141374
78,133768
79,127025
80,122250
81,102333
82,91224
83,81241
84+,464131
