group_name,value
0,95290
1,96470
2,94954
3,98571
4,100661
5,102510
6,103275
7,106051
8,105878
9,105302
10,104952
11,105368
12,106247
13,107388
14,109448
15,113792
16,113569
17,111818
18,113556
19,115929
20,115062
21,115837
22,116415
23,113510
24,111300
25,112111
26,111920
27,112954
28,114827
29,117007
30,118273
31,119415
32,121526
33,122666
34,120588
35,119896
36,119796
37,120817
38,120201
39,118203
40,120191
41,119392
42,117850
43,117109
44,112112
45,109180
46,107271
47,102856
48,103867
49,102177
50,103933
51,109443
52,115042
53,112834
54,108651
55,106453
56,106885
57,108146
58,112522
59,114907
60,114274
61,113225
62,111514
63,108123
64,105509
65,103950
66,101302
67,96088
68,93595
69,90057
70,85754
71,81803
72,77684
73,74186
74,72450
75,71372
76,74411
77,51867
78,49153
79,47327
80,47225
81,39342
82,34127
83,30424
84+,176762
