group_name,value
0,82456
1,83767
2,82734
3,85997
4,86173
5,88489
6,91667
7,94046
8,94280
9,93298
10,93487
11,92850
12,93456
13,95466
14,96729
15,99159
16,98171
17,95845
18,89436
19,86756
20,89309
21,90284
22,96450
23,100920
24,102671
25,105721
26,107620
27,111197
28,114370
29,117991
30,121002
31,125428
32,127924
33,128421
34,123927
35,120310
36,118010
37,118065
38,116636
39,113805
40,114506
41,113027
42,109855
43,107035
44,101406
45,97544
46,95506
47,91613
48,91262
49,88362
50,88219
51,91577
52,98268
53,97421
54,93635
55,89442
56,87661
57,87828
58,90833
59,93675
60,95299
61,95679
62,95626
63,93643
64,91876
65,91567
66,90503
67,87319
68,85602
69,83303
70,79996
71,76518
72,71819
73,68090
74,65724
75,63265
76,66063
77,45556
78,43478
79,41611
80,40347
81,33245
82,28747
83,25212
84+,149794
