group_name,value
0,59547
1,61005
2,60616
3,64385
4,64821
5,65992
6,67691
7,69410
8,69754
9,69686
10,69678
11,70182
12,70958
13,74100
14,76188
15,78736
16,78792
17,77588
18,75770
19,79534
20,79801
21,79509
22,81724
23,80334
24,75727
25,73814
26,72716
27,72230
28,72976
29,74880
30,75728
31,76247
32,74647
33,74068
34,72537
35,72085
36,73001
37,74862
38,76281
39,75010
40,76459
41,76826
42,76264
43,75757
44,72772
45,70671
46,68980
47,65756
48,66195
49,64156
50,64459
51,68575
52,74116
53,73705
54,72149
55,71691
56,74097
57,76029
58,79530
59,82257
60,83107
61,84674
62,85505
63,83003
64,81810
65,80746
66,78656
67,74407
68,72785
69,70147
70,67207
71,64835
72,60734
73,56631
74,54079
75,51331
76,53169
77,35839
78,34358
79,33234
80,33440
81,28135
82,24528
83,21594
84+,133947
