location,primary_contact_source,contact_sources,population_source
Afghanistan,prem_2021,prem_2021,https://population.un.org/wpp/
Albania,prem_2021,prem_2021|prem_2017,https://population.un.org/wpp/
Algeria,prem_2021,prem_2021|prem_2017,https://population.un.org/wpp/
Andorra,prem_2017,prem_2017,https://population.un.org/wpp/
Angola,prem_2021,prem_2021,https://population.un.org/wpp/
Antigua_and_Barbuda,prem_2017,prem_2017,https://population.un.org/wpp/
Argentina,prem_2021,prem_2021|prem_2017,https://population.un.org/wpp/
Armenia,prem_2021,prem_2021|prem_2017,https://population.un.org/wpp/
Australia,mistry_2021,mistry_2021|prem_2017,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
Australia_Australian_Capital_Territory,mistry_2021,mistry_2021,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
Australia_New_South_Wales,mistry_2021,mistry_2021,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
Australia_Northern_Territory,mistry_2021,mistry_2021,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
Australia_Queensland,mistry_2021,mistry_2021,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
Australia_South_Australia,mistry_2021,mistry_2021,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
Australia_Tasmania,mistry_2021,mistry_2021,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
Australia_Victoria,mistry_2021,mistry_2021,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
Australia_Western_Australia,mistry_2021,mistry_2021,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
Austria,mistry_2021,mistry_2021|prem_2021|prem_2017,https://population.un.org/wpp/
Azerbaijan,prem_2021,prem_2021|prem_2017,https://population.un.org/wpp/
Bahamas,prem_2021,prem_2021|prem_2017,https://population.un.org/wpp/
Bahrain,prem_2021,prem_2021|prem_2017,https://population.un.org/wpp/
Bangladesh,prem_2021,prem_2021|prem_2017,https://population.un.org/wpp/
Barbados,prem_2021,prem_2021,https://population.un.org/wpp/
Belarus,prem_2021,prem_2021|prem_2017,https://population.un.org/wpp/
Belgium,prem_2021,prem_2021|prem_2017,https://population.un.org/wpp/
Belize,prem_2021,prem_2021|prem_2017,https://population.un.org/wpp/
Benin,prem_2021,prem_2021|prem_2017,https://population.un.org/wpp/
Bhutan,prem_2021,prem_2021|prem_2017,https://population.un.org/wpp/
Bolivia,prem_2021,prem_2021|prem_2017,https://population.un.org/wpp/
Bosnia_and_Herzegovina,prem_2021,prem_2021|prem_2017,https://population.un.org/wpp/
Botswana,prem_2021,prem_2021|prem_2017,https://population.un.org/wpp/
Brazil,prem_2021,prem_2021|prem_2017,https://population.un.org/wpp/
Brunei,prem_2021,prem_2021|prem_2017,https://population.un.org/wpp/
Bulgaria,mistry_2021,mistry_2021|prem_2021|prem_2017,https://population.un.org/wpp/
Burkina_Faso,prem_2021,prem_2021|prem_2017,https://population.un.org/wpp/
Burundi,prem_2021,prem_2021,https://population.un.org/wpp/
Cabo_Verde,prem_2021,prem_2021|prem_2017,https://population.un.org/wpp/
Cambodia,prem_2021,prem_2021|prem_2017,https://population.un.org/wpp/
Cameroon,prem_2021,prem_2021|prem_2017,https://population.un.org/wpp/
Canada,mistry_2021,mistry_2021|prem_2021|prem_2017,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
Canada_Alberta,mistry_2021,mistry_2021,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
Canada_British_Columbia,mistry_2021,mistry_2021,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
Canada_Manitoba,mistry_2021,mistry_2021,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
Canada_New_Brunswick,mistry_2021,mistry_2021,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
Canada_Newfoundland_and_Labrador,mistry_2021,mistry_2021,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
Canada_Northwest_Territories,mistry_2021,mistry_2021,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
Canada_Nova_Scotia,mistry_2021,mistry_2021,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
Canada_Nunavut,mistry_2021,mistry_2021,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
Canada_Ontario,mistry_2021,mistry_2021,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
Canada_Prince_Edward_Island,mistry_2021,mistry_2021,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
Canada_Quebec,mistry_2021,mistry_2021,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
Canada_Saskatchewan,mistry_2021,mistry_2021,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
Canada_Yukon,mistry_2021,mistry_2021,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
Central_African_Republic,prem_2021,prem_2021,https://population.un.org/wpp/
Chad,prem_2021,prem_2021,https://population.un.org/wpp/
Chile,prem_2021,prem_2021|prem_2017,https://population.un.org/wpp/
China,mistry_2021,mistry_2021|prem_2021|prem_2017,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
China_Anhui,mistry_2021,mistry_2021,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
China_Beijing,mistry_2021,mistry_2021,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
China_Chongqing,mistry_2021,mistry_2021,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
China_Fujian,mistry_2021,mistry_2021,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
China_Gansu,mistry_2021,mistry_2021,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
China_Guangdong,mistry_2021,mistry_2021,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
China_Guangxi,mistry_2021,mistry_2021,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
China_Guizhou,mistry_2021,mistry_2021,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
China_Hainan,mistry_2021,mistry_2021,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
China_Hebei,mistry_2021,mistry_2021,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
China_Heilongjiang,mistry_2021,mistry_2021,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
China_Henan,mistry_2021,mistry_2021,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
China_Hubei,mistry_2021,mistry_2021,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
China_Hunan,mistry_2021,mistry_2021,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
China_Inner_Mongolia,mistry_2021,mistry_2021,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
China_Jiangsu,mistry_2021,mistry_2021,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
China_Jiangxi,mistry_2021,mistry_2021,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
China_Jilin,mistry_2021,mistry_2021,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
China_Liaoning,mistry_2021,mistry_2021,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
China_Ningxia,mistry_2021,mistry_2021,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
China_Qinghai,mistry_2021,mistry_2021,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
China_Shaanxi,mistry_2021,mistry_2021,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
China_Shandong,mistry_2021,mistry_2021,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
China_Shanghai,mistry_2021,mistry_2021,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
China_Shanxi,mistry_2021,mistry_2021,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
China_Sichuan,mistry_2021,mistry_2021,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
China_Tianjin,mistry_2021,mistry_2021,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
China_Tibet,mistry_2021,mistry_2021,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
China_Xinjiang,mistry_2021,mistry_2021,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
China_Yunnan,mistry_2021,mistry_2021,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
